V,I,P,R,T,mAH,WH
35.867,7.45,267.2,4.81,25,2210.05,82.73275
35.839,7.45,267,4.81,25,2230.77,83.47558
35.814,7.45,266.8,4.81,25,2251.07,84.20284
35.79,7.45,266.6,4.8,25,2271.82,84.94575
35.762,7.45,266.4,4.8,25,2292.98,85.70255
35.733,7.45,266.2,4.8,25,2313.7,86.44339
35.71,7.45,266,4.79,25,2334.41,87.18333
35.686,7.45,265.9,4.79,25,2354.72,87.90813
35.658,7.45,265.7,4.79,25,2375.42,88.64674
35.635,7.45,265.5,4.78,25,2395.77,89.37197
35.608,7.45,265.3,4.78,25,2416.47,90.10944
35.584,7.45,265.1,4.78,25,2437.21,90.84766
35.557,7.45,264.9,4.77,25,2458.34,91.59932
35.53,7.45,264.7,4.77,25,2479.11,92.33755
35.507,7.45,264.5,4.77,25,2499.84,93.0738
35.481,7.45,264.3,4.76,25,2520.12,93.79364
35.458,7.45,264.2,4.76,25,2541.26,94.54357
35.432,7.45,264,4.76,25,2561.96,95.27699
35.41,7.45,263.8,4.75,25,2582.7,96.01171
35.383,7.45,263.6,4.75,25,2602.98,96.72954
35.36,7.45,263.4,4.75,25,2623.76,97.46453
35.334,7.45,263.2,4.74,25,2644.05,98.18177
35.312,7.45,263.1,4.74,25,2664.75,98.91292
35.287,7.45,262.9,4.74,25,2685.47,99.64414
35.266,7.45,262.7,4.73,25,2706.6,100.38955
35.242,7.45,262.6,4.73,25,2727.31,101.11976
35.218,7.45,262.4,4.73,25,2747.61,101.835
35.197,7.45,262.2,4.72,25,2768.35,102.56503
35.172,7.45,262,4.72,25,2789.47,103.30828
35.152,7.45,261.9,4.72,25,2810.2,104.03719
35.128,7.45,261.7,4.72,25,2830.5,104.75045
35.107,7.45,261.5,4.71,25,2851.29,105.48043
35.084,7.45,261.4,4.71,25,2872,106.20731
35.064,7.45,261.2,4.71,25,2893.11,106.94763
35.041,7.45,261.1,4.7,25,2913.06,107.64697
35.021,7.45,260.9,4.7,25,2933.78,108.37289
34.999,7.45,260.7,4.7,25,2954.89,109.11206
34.979,7.45,260.6,4.7,25,2975.59,109.8363
34.959,7.45,260.4,4.69,25,2995.89,110.54613
34.935,7.45,260.3,4.69,25,3016.63,111.27087
34.917,7.45,260.1,4.69,25,3037.73,112.00803
34.894,7.45,260,4.68,25,3058.49,112.7325
34.876,7.45,259.8,4.68,25,3079.23,113.45602
34.855,7.45,259.7,4.68,25,3099.51,114.16318
34.837,7.45,259.5,4.68,25,3120.24,114.88543
34.815,7.45,259.4,4.67,25,3141.39,115.62204
34.798,7.45,259.2,4.67,25,3162.1,116.34294
34.777,7.45,259.1,4.67,25,3182.82,117.0639
34.76,7.45,259,4.67,25,3203.12,117.76955
34.739,7.45,258.8,4.66,25,3223.87,118.49046
34.723,7.45,258.7,4.66,25,3244.15,119.1949
34.703,7.45,258.5,4.66,25,3264.87,119.9143
34.687,7.45,258.4,4.66,25,3285.6,120.63335
34.667,7.45,258.3,4.65,25,3306.77,121.36763
34.648,7.45,258.1,4.65,25,3327.51,122.08645
34.632,7.45,258,4.65,25,3348.21,122.80348
34.616,7.45,257.9,4.65,25,3368.51,123.50608
34.597,7.45,257.7,4.64,25,3389.24,124.22343
34.579,7.45,257.6,4.64,25,3410.41,124.95577
34.563,7.45,257.5,4.64,25,3431.11,125.67129
34.545,7.45,257.4,4.64,25,3451.8,126.38641
34.529,7.45,257.2,4.63,25,3472.08,127.08681
34.512,7.45,257.1,4.63,25,3492.87,127.80445
